tran_id	gene_id	transLen	counts	FPKM	Psi	Psi_low	Psi_high
ENSG00000170100.9.in	ENSG00000170100.9	303	0.000e+00	0.000e+00	0.848	0.158	1.000
ENSG00000170100.9.out	ENSG00000170100.9	176	0.000e+00	0.000e+00	0.152	0.000	0.842
ENSG00000101363.8.in	ENSG00000101363.8	405	2.887e-01	8.441e-02	0.198	0.000	0.847
ENSG00000101363.8.out	ENSG00000101363.8	166	7.113e-01	5.074e-01	0.802	0.154	1.000
ENSG00000002746.10.in	ENSG00000002746.10	632	0.000e+00	0.000e+00	0.071	0.000	0.635
ENSG00000002746.10.out	ENSG00000002746.10	397	0.000e+00	0.000e+00	0.929	0.365	1.000
ENSG00000163867.12.in	ENSG00000163867.12	510	0.000e+00	0.000e+00	0.588	0.019	0.999
ENSG00000163867.12.out	ENSG00000163867.12	260	0.000e+00	0.000e+00	0.412	0.001	0.981
ENSG00000113889.7.in	ENSG00000113889.7	366	0.000e+00	0.000e+00	0.894	0.230	1.000
ENSG00000113889.7.out	ENSG00000113889.7	258	0.000e+00	0.000e+00	0.106	0.000	0.770
ENSG00000169136.4.in	ENSG00000169136.4	720	1.889e-01	3.107e-02	0.039	0.000	0.335
ENSG00000169136.4.out	ENSG00000169136.4	555	3.811e+00	8.132e-01	0.961	0.665	1.000
ENSG00000159063.8.in	ENSG00000159063.8	398	7.386e+00	2.198e+00	0.060	0.017	0.153
ENSG00000159063.8.out	ENSG00000159063.8	323	9.461e+01	3.469e+01	0.940	0.849	0.983
ENSG00000048740.13.in	ENSG00000048740.13	514	3.016e+00	6.948e-01	0.559	0.054	0.998
ENSG00000048740.13.out	ENSG00000048740.13	370	1.984e+00	6.351e-01	0.441	0.002	0.946
ENSG00000167977.4.in	ENSG00000167977.4	297	0.000e+00	0.000e+00	0.855	0.062	1.000
ENSG00000167977.4.out	ENSG00000167977.4	205	0.000e+00	0.000e+00	0.145	0.000	0.938
ENSG00000203910.4.in	ENSG00000203910.4	430	0.000e+00	0.000e+00	0.040	0.000	0.400
ENSG00000203910.4.out	ENSG00000203910.4	199	0.000e+00	0.000e+00	0.960	0.600	1.000
ENSG00000168137.11.in	ENSG00000168137.11	776	8.125e-01	1.240e-01	0.009	0.000	0.061
